mz,intensity
73.04681,89648824
74.04636,8747651
75.02608,10680755
78.03389,2098064
80.045,776450
90.03503,94813
94.04138,177152
100.0577,6005140
102.07336,5599064
103.05743,323310
106.02879,1851944
115.05735,3072171
119.05235,81184
128.08896,3391376
131.08868,4178641
136.05772,3334364
137.05734,97816
137.06111,287836
140.03177,202652
142.04744,120616
143.08868,286338
145.10438,265558
147.06552,6572071
149.04478,6387855
150.0444,292466
151.04163,4271201
152.03172,99840
154.06822,2365884
155.07155,177588
158.13583,273255552
159.11992,81198
159.13915,36516316
160.13263,11271540
167.05537,143492
170.09946,2983828
172.1151,143106
180.04744,7829154
181.0509,941052
182.04428,475029
187.09804,220362
194.06293,158790
198.05808,3401382
199.06192,326492
215.14618,338164
218.10263,9657388
232.15465,15954073
233.13873,3625907
304.08493,91714
330.06183,943419
331.06149,107895
332.05807,97084
