mz	intensity
78.034	2098064
80.045	776450
90.035	94813
94.041	177152
103.057	323310
106.029	1851944
119.052	81184
136.058	3334364
137.057	97816
137.061	287836
140.032	202652
142.047	120616
143.089	286338
145.104	265558
147.066	422235
149.045	3214684
150.044	292466
151.042	133435
152.032	99840
154.068	2365884
155.072	177588
159.120	81198
167.055	143492
172.115	143106
180.047	7829154
181.051	941052
182.044	475029
187.098	220362
194.063	158790
198.058	3401382
199.062	326492
215.146	338164
304.085	91714
330.062	943419
331.061	107895
332.058	97084
